case_id,standard_name,question,expected_outcome,question_type,scenario
v3_edge_0002_06_ready_3964b8a6ce,Professional Auditing Standards (General),"Under Professional Auditing Standards (General), system classification disagrees with contract language. Which evidence should take precedence and how should conflict resolution be documented?",READY,ready,contract_vs_system_mismatch
v3_edge_0002_07_ready_7d81b95baa,Professional Auditing Standards (General),"For Professional Auditing Standards (General), the fact pattern appears to overlap with another standard. How should dependencies and order-of-application be determined?",READY,ready,cross_standard_interaction
v3_edge_0002_08_ready_926190c4dd,Professional Auditing Standards (General),"Applying Professional Auditing Standards (General), an item is quantitatively small but qualitatively high-risk. How should audit response depth be adjusted?",READY,ready,materiality_judgement_edge
v3_edge_0002_09_ready_1e7b8fd0e0,Professional Auditing Standards (General),"Under Professional Auditing Standards (General), quantitative note tables tie out, but the narrative disclosure implies a different risk story. How should this inconsistency be assessed and reported?",READY,ready,disclosure_mismatch
v3_edge_0002_10_ready_a141553c72,Professional Auditing Standards (General),"For Professional Auditing Standards (General), late-period adjustments consistently move results in one direction. What indicators of management bias should the auditor evaluate first?",READY,ready,management_bias_pressure
v3_edge_0002_11_clarification_18f247895b,Professional Auditing Standards (General),"In a cross-border restructuring, how should it apply when one contract is partly in scope, and what are its dependencies on other standards?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_scope_split
v3_edge_0002_12_clarification_794e05827f,Professional Auditing Standards (General),Management changed policy options this year; how should it be evaluated and what are its dependencies?,NEEDS_CLARIFICATION,clarification,clarify_target_standard_policy_change
v3_edge_0002_13_clarification_7c0503f156,Professional Auditing Standards (General),"If data is incomplete and proxies are used, how should it be assessed and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_data_proxy
v3_edge_0002_14_clarification_4defe3b760,Professional Auditing Standards (General),"When contract terms conflict with system classification, how should it be resolved and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_contract_system_conflict
v3_edge_0002_15_clarification_a90ec15f1e,Professional Auditing Standards (General),"For mixed contract components with different risk features, how should it be split and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_mixed_components
v3_edge_0002_16_clarification_2875ec5c9b,Professional Auditing Standards (General),"If business purpose changes near year-end, when should it be reclassified and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_reclassification
v3_edge_0002_17_clarification_89117b3456,Professional Auditing Standards (General),"Where legal title transfers but risks are partly retained, how should it be treated and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_derecognition
v3_edge_0002_18_clarification_553296dd8a,Professional Auditing Standards (General),"When valuation inputs are disputed across providers, how should it be concluded and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_level_uncertainty
v3_edge_0002_19_clarification_185292c6ad,Professional Auditing Standards (General),"If late manual overlays materially change the result, how should it be challenged and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_overlays
v3_edge_0002_20_clarification_388b171f16,Professional Auditing Standards (General),"If assumptions consistently move outcomes one way, how should it be tested for bias and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_judgement_bias
v3_edge_0003_01_ready_6f30e0e278,Professional Auditing Standards (General),"Under Professional Auditing Standards (General), management says the transaction is partly in scope and partly out of scope. How should the boundary be determined, and what facts would change the conclusion?",READY,ready,scope_boundary_conflict
v3_edge_0003_02_ready_59dd2d48ca,Professional Auditing Standards (General),"For Professional Auditing Standards (General), a single contract has multiple components with different risk profiles. How should treatment be split, and what is the audit evidence trail for each component?",READY,ready,mixed_components
v3_edge_0003_03_ready_a99511bb45,Professional Auditing Standards (General),"Applying Professional Auditing Standards (General), terms were renegotiated just before year-end. Should treatment follow original terms, revised terms, or a split approach?",READY,ready,midyear_change
v3_edge_0003_04_ready_3d3d8fc55f,Professional Auditing Standards (General),"In Professional Auditing Standards (General), management selected an allowed policy option this year but used a different one last year. How should consistency, comparability, and disclosure be evaluated?",READY,ready,policy_option_consistency
v3_edge_0003_05_ready_09f804aa72,Professional Auditing Standards (General),"For Professional Auditing Standards (General), key data points are incomplete and management proposes a proxy. What minimum support is needed before an auditor can accept the conclusion?",READY,ready,incomplete_data
v3_edge_0003_06_ready_bda1a982fc,Professional Auditing Standards (General),"Under Professional Auditing Standards (General), system classification disagrees with contract language. Which evidence should take precedence and how should conflict resolution be documented?",READY,ready,contract_vs_system_mismatch
v3_edge_0003_07_ready_8ec288a263,Professional Auditing Standards (General),"For Professional Auditing Standards (General), the fact pattern appears to overlap with another standard. How should dependencies and order-of-application be determined?",READY,ready,cross_standard_interaction
v3_edge_0003_08_ready_ba7e555fcd,Professional Auditing Standards (General),"Applying Professional Auditing Standards (General), an item is quantitatively small but qualitatively high-risk. How should audit response depth be adjusted?",READY,ready,materiality_judgement_edge
v3_edge_0003_09_ready_87abf90453,Professional Auditing Standards (General),"Under Professional Auditing Standards (General), quantitative note tables tie out, but the narrative disclosure implies a different risk story. How should this inconsistency be assessed and reported?",READY,ready,disclosure_mismatch
v3_edge_0003_10_ready_4af7075715,Professional Auditing Standards (General),"For Professional Auditing Standards (General), late-period adjustments consistently move results in one direction. What indicators of management bias should the auditor evaluate first?",READY,ready,management_bias_pressure
v3_edge_0003_11_clarification_c79fcc1dc7,Professional Auditing Standards (General),"In a cross-border restructuring, how should it apply when one contract is partly in scope, and what are its dependencies on other standards?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_scope_split
v3_edge_0003_12_clarification_31098e126c,Professional Auditing Standards (General),Management changed policy options this year; how should it be evaluated and what are its dependencies?,NEEDS_CLARIFICATION,clarification,clarify_target_standard_policy_change
v3_edge_0003_13_clarification_b6ff69c0a9,Professional Auditing Standards (General),"If data is incomplete and proxies are used, how should it be assessed and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_data_proxy
v3_edge_0003_14_clarification_ed4a3d0902,Professional Auditing Standards (General),"When contract terms conflict with system classification, how should it be resolved and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_contract_system_conflict
v3_edge_0003_15_clarification_04021cb681,Professional Auditing Standards (General),"For mixed contract components with different risk features, how should it be split and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_mixed_components
v3_edge_0003_16_clarification_0fd02f2538,Professional Auditing Standards (General),"If business purpose changes near year-end, when should it be reclassified and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_reclassification
v3_edge_0003_17_clarification_4ced34e9c3,Professional Auditing Standards (General),"Where legal title transfers but risks are partly retained, how should it be treated and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_derecognition
v3_edge_0003_18_clarification_85a2c983be,Professional Auditing Standards (General),"When valuation inputs are disputed across providers, how should it be concluded and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_level_uncertainty
v3_edge_0003_19_clarification_2739e9dff4,Professional Auditing Standards (General),"If late manual overlays materially change the result, how should it be challenged and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_overlays
v3_edge_0003_20_clarification_889bd9b771,Professional Auditing Standards (General),"If assumptions consistently move outcomes one way, how should it be tested for bias and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_judgement_bias
v3_edge_0004_01_ready_6df9d005d0,Professional Auditing Standards (General),"Under Professional Auditing Standards (General), management says the transaction is partly in scope and partly out of scope. How should the boundary be determined, and what facts would change the conclusion?",READY,ready,scope_boundary_conflict
v3_edge_0004_02_ready_96136dfff1,Professional Auditing Standards (General),"For Professional Auditing Standards (General), a single contract has multiple components with different risk profiles. How should treatment be split, and what is the audit evidence trail for each component?",READY,ready,mixed_components
v3_edge_0004_03_ready_66d4e989bb,Professional Auditing Standards (General),"Applying Professional Auditing Standards (General), terms were renegotiated just before year-end. Should treatment follow original terms, revised terms, or a split approach?",READY,ready,midyear_change
v3_edge_0004_04_ready_80d72b5af4,Professional Auditing Standards (General),"In Professional Auditing Standards (General), management selected an allowed policy option this year but used a different one last year. How should consistency, comparability, and disclosure be evaluated?",READY,ready,policy_option_consistency
v3_edge_0004_05_ready_86c2cea26e,Professional Auditing Standards (General),"For Professional Auditing Standards (General), key data points are incomplete and management proposes a proxy. What minimum support is needed before an auditor can accept the conclusion?",READY,ready,incomplete_data
v3_edge_0004_06_ready_4baae96fbd,Professional Auditing Standards (General),"Under Professional Auditing Standards (General), system classification disagrees with contract language. Which evidence should take precedence and how should conflict resolution be documented?",READY,ready,contract_vs_system_mismatch
v3_edge_0004_07_ready_6caf00d9f8,Professional Auditing Standards (General),"For Professional Auditing Standards (General), the fact pattern appears to overlap with another standard. How should dependencies and order-of-application be determined?",READY,ready,cross_standard_interaction
v3_edge_0004_08_ready_32ce58c6a2,Professional Auditing Standards (General),"Applying Professional Auditing Standards (General), an item is quantitatively small but qualitatively high-risk. How should audit response depth be adjusted?",READY,ready,materiality_judgement_edge
v3_edge_0004_09_ready_fac7a71a43,Professional Auditing Standards (General),"Under Professional Auditing Standards (General), quantitative note tables tie out, but the narrative disclosure implies a different risk story. How should this inconsistency be assessed and reported?",READY,ready,disclosure_mismatch
v3_edge_0004_10_ready_2e03a52b20,Professional Auditing Standards (General),"For Professional Auditing Standards (General), late-period adjustments consistently move results in one direction. What indicators of management bias should the auditor evaluate first?",READY,ready,management_bias_pressure
v3_edge_0004_11_clarification_1c916d0480,Professional Auditing Standards (General),"In a cross-border restructuring, how should it apply when one contract is partly in scope, and what are its dependencies on other standards?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_scope_split
v3_edge_0004_12_clarification_388b7e77b3,Professional Auditing Standards (General),Management changed policy options this year; how should it be evaluated and what are its dependencies?,NEEDS_CLARIFICATION,clarification,clarify_target_standard_policy_change
v3_edge_0004_13_clarification_7a54b487be,Professional Auditing Standards (General),"If data is incomplete and proxies are used, how should it be assessed and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_data_proxy
v3_edge_0004_14_clarification_8967a3567b,Professional Auditing Standards (General),"When contract terms conflict with system classification, how should it be resolved and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_contract_system_conflict
v3_edge_0004_15_clarification_2cb2dbb238,Professional Auditing Standards (General),"For mixed contract components with different risk features, how should it be split and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_mixed_components
v3_edge_0004_16_clarification_c0ceb6bb2d,Professional Auditing Standards (General),"If business purpose changes near year-end, when should it be reclassified and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_reclassification
v3_edge_0004_17_clarification_068f70114d,Professional Auditing Standards (General),"Where legal title transfers but risks are partly retained, how should it be treated and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_derecognition
v3_edge_0004_18_clarification_7f3d9eef8b,Professional Auditing Standards (General),"When valuation inputs are disputed across providers, how should it be concluded and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_level_uncertainty
v3_edge_0004_19_clarification_4afe091615,Professional Auditing Standards (General),"If late manual overlays materially change the result, how should it be challenged and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_overlays
v3_edge_0004_20_clarification_4206c6666e,Professional Auditing Standards (General),"If assumptions consistently move outcomes one way, how should it be tested for bias and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_judgement_bias
v3_edge_0005_01_ready_b0c8085919,Professional Auditing Standards (General),"Under Professional Auditing Standards (General), management says the transaction is partly in scope and partly out of scope. How should the boundary be determined, and what facts would change the conclusion?",READY,ready,scope_boundary_conflict
v3_edge_0005_02_ready_2e706d6eeb,Professional Auditing Standards (General),"For Professional Auditing Standards (General), a single contract has multiple components with different risk profiles. How should treatment be split, and what is the audit evidence trail for each component?",READY,ready,mixed_components
v3_edge_0005_03_ready_e04fd968c9,Professional Auditing Standards (General),"Applying Professional Auditing Standards (General), terms were renegotiated just before year-end. Should treatment follow original terms, revised terms, or a split approach?",READY,ready,midyear_change
v3_edge_0005_04_ready_154a178da9,Professional Auditing Standards (General),"In Professional Auditing Standards (General), management selected an allowed policy option this year but used a different one last year. How should consistency, comparability, and disclosure be evaluated?",READY,ready,policy_option_consistency
v3_edge_0005_05_ready_9c7dc64b96,Professional Auditing Standards (General),"For Professional Auditing Standards (General), key data points are incomplete and management proposes a proxy. What minimum support is needed before an auditor can accept the conclusion?",READY,ready,incomplete_data
v3_edge_0005_06_ready_8083a0e369,Professional Auditing Standards (General),"Under Professional Auditing Standards (General), system classification disagrees with contract language. Which evidence should take precedence and how should conflict resolution be documented?",READY,ready,contract_vs_system_mismatch
v3_edge_0005_07_ready_ab4d3268bb,Professional Auditing Standards (General),"For Professional Auditing Standards (General), the fact pattern appears to overlap with another standard. How should dependencies and order-of-application be determined?",READY,ready,cross_standard_interaction
v3_edge_0005_08_ready_57324ba255,Professional Auditing Standards (General),"Applying Professional Auditing Standards (General), an item is quantitatively small but qualitatively high-risk. How should audit response depth be adjusted?",READY,ready,materiality_judgement_edge
v3_edge_0005_09_ready_ba2e3ae9d7,Professional Auditing Standards (General),"Under Professional Auditing Standards (General), quantitative note tables tie out, but the narrative disclosure implies a different risk story. How should this inconsistency be assessed and reported?",READY,ready,disclosure_mismatch
v3_edge_0005_10_ready_73f35ee969,Professional Auditing Standards (General),"For Professional Auditing Standards (General), late-period adjustments consistently move results in one direction. What indicators of management bias should the auditor evaluate first?",READY,ready,management_bias_pressure
v3_edge_0005_11_clarification_b02dcd6d76,Professional Auditing Standards (General),"In a cross-border restructuring, how should it apply when one contract is partly in scope, and what are its dependencies on other standards?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_scope_split
v3_edge_0005_12_clarification_ecd7c2760e,Professional Auditing Standards (General),Management changed policy options this year; how should it be evaluated and what are its dependencies?,NEEDS_CLARIFICATION,clarification,clarify_target_standard_policy_change
v3_edge_0005_13_clarification_d8dae56402,Professional Auditing Standards (General),"If data is incomplete and proxies are used, how should it be assessed and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_data_proxy
v3_edge_0005_14_clarification_08de2f9133,Professional Auditing Standards (General),"When contract terms conflict with system classification, how should it be resolved and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_contract_system_conflict
v3_edge_0005_15_clarification_1a3f067780,Professional Auditing Standards (General),"For mixed contract components with different risk features, how should it be split and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_mixed_components
v3_edge_0005_16_clarification_b8a60e04b5,Professional Auditing Standards (General),"If business purpose changes near year-end, when should it be reclassified and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_reclassification
v3_edge_0005_17_clarification_33546f7a77,Professional Auditing Standards (General),"Where legal title transfers but risks are partly retained, how should it be treated and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_derecognition
v3_edge_0005_18_clarification_5476452d23,Professional Auditing Standards (General),"When valuation inputs are disputed across providers, how should it be concluded and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_level_uncertainty
v3_edge_0005_19_clarification_8141efd410,Professional Auditing Standards (General),"If late manual overlays materially change the result, how should it be challenged and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_overlays
v3_edge_0005_20_clarification_52f5653f7d,Professional Auditing Standards (General),"If assumptions consistently move outcomes one way, how should it be tested for bias and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_judgement_bias
v3_edge_0006_01_ready_20a135e9a4,IFRS 4,"Under IFRS 4, a transaction appears partially inside and partially outside scope. How should the boundary be determined, and what facts would change the conclusion?",READY,ready,scope_boundary_conflict
v3_edge_0006_02_ready_f9d9652923,IFRS 4,"Applying IFRS 4, recognition criteria are only marginally met at year-end. What additional evidence is needed before recognition is appropriate?",READY,ready,recognition_threshold_uncertain
v3_edge_0006_03_ready_a90da5b2a2,IFRS 4,"For IFRS 4, management argues for one measurement basis while audit analytics suggest another. How should the basis be determined and defended?",READY,ready,measurement_basis_dispute
v3_edge_0006_04_ready_1a29a68cab,IFRS 4,"Under IFRS 4, business purpose changed mid-period and management reclassified the item. When is reclassification appropriate and what documentation is essential?",READY,ready,classification_reclassification_edge
v3_edge_0006_05_ready_d955e56131,IFRS 4,"Applying IFRS 4, a transfer retained certain risks while passing legal title. How should derecognition be assessed in this mixed fact pattern?",READY,ready,derecognition_transfer_ambiguity
v3_edge_0006_06_ready_fe25f5650a,IFRS 4,"For IFRS 4, contract terms include a non-standard embedded feature. How should separation, classification, and measurement implications be evaluated?",READY,ready,embedded_feature_edge
v3_edge_0006_07_ready_535f929712,IFRS 4,"In IFRS 4, management changed an available accounting policy option from prior year. How should consistency and comparability impacts be assessed?",READY,ready,policy_option_consistency
v3_edge_0006_08_ready_49316f93ae,IFRS 4,"Under IFRS 4, two external pricing sources provide materially different inputs. How should reliability be assessed and the final estimate selected?",READY,ready,fair_value_input_conflict
v3_edge_0006_09_ready_ae09e56bf3,IFRS 4,"Applying IFRS 4, indicators are mixed on whether an impairment-related trigger occurred. How should management judgement be challenged?",READY,ready,impairment_trigger_judgement
v3_edge_0006_10_ready_044ce8e55c,IFRS 4,"For IFRS 4, macroeconomic scenarios changed significantly late in the period. How should weighting choices be tested for bias?",READY,ready,macro_scenario_weighting
v3_edge_0006_11_clarification_032f0f9a48,Professional Auditing Standards (General),"In a cross-border restructuring, how should it apply when one contract is partly in scope, and what are its dependencies on other standards?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_scope_split
v3_edge_0006_12_clarification_e920f0fbc9,Professional Auditing Standards (General),Management changed policy options this year; how should it be evaluated and what are its dependencies?,NEEDS_CLARIFICATION,clarification,clarify_target_standard_policy_change
v3_edge_0006_13_clarification_10978940a0,Professional Auditing Standards (General),"If data is incomplete and proxies are used, how should it be assessed and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_data_proxy
v3_edge_0006_14_clarification_d443f16a9b,Professional Auditing Standards (General),"When contract terms conflict with system classification, how should it be resolved and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_contract_system_conflict
v3_edge_0006_15_clarification_d94ae8b149,Professional Auditing Standards (General),"For mixed contract components with different risk features, how should it be split and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_mixed_components
v3_edge_0006_16_clarification_6c7840cceb,Professional Auditing Standards (General),"If business purpose changes near year-end, when should it be reclassified and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_reclassification
v3_edge_0006_17_clarification_e98c303e59,Professional Auditing Standards (General),"Where legal title transfers but risks are partly retained, how should it be treated and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_derecognition
v3_edge_0006_18_clarification_c5663fc9d7,Professional Auditing Standards (General),"When valuation inputs are disputed across providers, how should it be concluded and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_level_uncertainty
v3_edge_0006_19_clarification_10568ebf9a,Professional Auditing Standards (General),"If late manual overlays materially change the result, how should it be challenged and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_overlays
v3_edge_0006_20_clarification_c066a636c5,Professional Auditing Standards (General),"If assumptions consistently move outcomes one way, how should it be tested for bias and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_judgement_bias
v3_edge_0007_01_ready_4494940e9c,IFRS 1,"Under IFRS 1, a transaction appears partially inside and partially outside scope. How should the boundary be determined, and what facts would change the conclusion?",READY,ready,scope_boundary_conflict
v3_edge_0007_02_ready_2dacde1d86,IFRS 1,"Applying IFRS 1, recognition criteria are only marginally met at year-end. What additional evidence is needed before recognition is appropriate?",READY,ready,recognition_threshold_uncertain
v3_edge_0007_03_ready_664350368f,IFRS 1,"For IFRS 1, management argues for one measurement basis while audit analytics suggest another. How should the basis be determined and defended?",READY,ready,measurement_basis_dispute
v3_edge_0007_04_ready_f5097ff59d,IFRS 1,"Under IFRS 1, business purpose changed mid-period and management reclassified the item. When is reclassification appropriate and what documentation is essential?",READY,ready,classification_reclassification_edge
v3_edge_0007_05_ready_9028a041e5,IFRS 1,"Applying IFRS 1, a transfer retained certain risks while passing legal title. How should derecognition be assessed in this mixed fact pattern?",READY,ready,derecognition_transfer_ambiguity
v3_edge_0007_06_ready_97f1d478db,IFRS 1,"For IFRS 1, contract terms include a non-standard embedded feature. How should separation, classification, and measurement implications be evaluated?",READY,ready,embedded_feature_edge
v3_edge_0007_07_ready_43935a7392,IFRS 1,"In IFRS 1, management changed an available accounting policy option from prior year. How should consistency and comparability impacts be assessed?",READY,ready,policy_option_consistency
v3_edge_0007_08_ready_ae9d698f07,IFRS 1,"Under IFRS 1, two external pricing sources provide materially different inputs. How should reliability be assessed and the final estimate selected?",READY,ready,fair_value_input_conflict
v3_edge_0007_09_ready_282fdbb780,IFRS 1,"Applying IFRS 1, indicators are mixed on whether an impairment-related trigger occurred. How should management judgement be challenged?",READY,ready,impairment_trigger_judgement
v3_edge_0007_10_ready_4e96e433e3,IFRS 1,"For IFRS 1, macroeconomic scenarios changed significantly late in the period. How should weighting choices be tested for bias?",READY,ready,macro_scenario_weighting
v3_edge_0007_11_clarification_4462a9600a,Professional Auditing Standards (General),"In a cross-border restructuring, how should it apply when one contract is partly in scope, and what are its dependencies on other standards?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_scope_split
v3_edge_0007_12_clarification_da115d8a79,Professional Auditing Standards (General),Management changed policy options this year; how should it be evaluated and what are its dependencies?,NEEDS_CLARIFICATION,clarification,clarify_target_standard_policy_change
v3_edge_0007_13_clarification_283955b786,Professional Auditing Standards (General),"If data is incomplete and proxies are used, how should it be assessed and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_data_proxy
v3_edge_0007_14_clarification_9334ef8500,Professional Auditing Standards (General),"When contract terms conflict with system classification, how should it be resolved and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_contract_system_conflict
v3_edge_0007_15_clarification_ef2c4b96e5,Professional Auditing Standards (General),"For mixed contract components with different risk features, how should it be split and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_mixed_components
v3_edge_0007_16_clarification_4cb23a9e19,Professional Auditing Standards (General),"If business purpose changes near year-end, when should it be reclassified and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_reclassification
v3_edge_0007_17_clarification_d48dd5b2a5,Professional Auditing Standards (General),"Where legal title transfers but risks are partly retained, how should it be treated and what are its dependencies?",NEEDS_CLARIFICATION,clarification,clarify_target_standard_derecognition
